"meeting_date","scrape_date","move","diff_bps","bucket_rate","probability"
2025-08-12,2024-03-01,"0.10%",-300,0.1,0
2025-08-12,2024-03-01,"0.35%",-300,0.35,0
2025-08-12,2024-03-01,"0.60%",-300,0.6,0
2025-08-12,2024-03-01,"0.85%",-275,0.85,0
2025-08-12,2024-03-01,"1.10%",-250,1.1,0
2025-08-12,2024-03-01,"1.35%",-225,1.35,0
2025-08-12,2024-03-01,"1.60%",-200,1.6,0
2025-08-12,2024-03-01,"1.85%",-175,1.85,0
2025-08-12,2024-03-01,"2.10%",-150,2.1,0
2025-08-12,2024-03-01,"2.35%",-125,2.35,0
2025-08-12,2024-03-01,"2.60%",-100,2.6,0.0160798335124684
2025-08-12,2024-03-01,"2.85%",-75,2.85,0.0481985595311169
2025-08-12,2024-03-01,"3.10%",-50,3.1,0.107374746094168
2025-08-12,2024-03-01,"3.35%",-25,3.35,0.177812571719744
2025-08-12,2024-03-01,"3.60%",0,3.6,0.218909596553398
2025-08-12,2024-03-01,"3.85%",25,3.85,0.200368777531358
2025-08-12,2024-03-01,"4.10%",50,4.1,0.136348163088186
2025-08-12,2024-03-01,"4.35%",75,4.35,0.0689738060354503
2025-08-12,2024-03-01,"4.60%",100,4.6,0.0259339459341098
2025-08-12,2024-03-01,"4.85%",125,4.85,0
2025-08-12,2024-03-01,"5.10%",150,5.1,0
2025-08-12,2024-03-01,"5.35%",175,5.35,0
2025-08-12,2024-03-01,"5.60%",200,5.6,0
2025-08-12,2024-03-01,"5.85%",225,5.85,0
2025-08-12,2024-03-01,"6.10%",250,6.1,0
2025-08-12,2024-03-04,"0.10%",-300,0.1,0
2025-08-12,2024-03-04,"0.35%",-300,0.35,0
2025-08-12,2024-03-04,"0.60%",-300,0.6,0
2025-08-12,2024-03-04,"0.85%",-275,0.85,0
2025-08-12,2024-03-04,"1.10%",-250,1.1,0
2025-08-12,2024-03-04,"1.35%",-225,1.35,0
2025-08-12,2024-03-04,"1.60%",-200,1.6,0
2025-08-12,2024-03-04,"1.85%",-175,1.85,0
2025-08-12,2024-03-04,"2.10%",-150,2.1,0
2025-08-12,2024-03-04,"2.35%",-125,2.35,0.0161446707946891
2025-08-12,2024-03-04,"2.60%",-100,2.6,0.0371231150128973
2025-08-12,2024-03-04,"2.85%",-75,2.85,0.0713202263817225
2025-08-12,2024-03-04,"3.10%",-50,3.1,0.114484817459327
2025-08-12,2024-03-04,"3.35%",-25,3.35,0.153553642584532
2025-08-12,2024-03-04,"3.60%",0,3.6,0.172090053793299
2025-08-12,2024-03-04,"3.85%",25,3.85,0.161152603825246
2025-08-12,2024-03-04,"4.10%",50,4.1,0.126096594523842
2025-08-12,2024-03-04,"4.35%",75,4.35,0.0824420010590599
