"meeting_date","scrape_date","move","diff_bps","bucket_rate","probability"
2024-03-19,2022-10-05,"0.10%",-300,0.1,0
2024-03-19,2022-10-05,"0.35%",-300,0.35,0
2024-03-19,2022-10-05,"0.60%",-300,0.6,0
2024-03-19,2022-10-05,"0.85%",-275,0.85,0
2024-03-19,2022-10-05,"1.10%",-250,1.1,0
2024-03-19,2022-10-05,"1.35%",-225,1.35,0
2024-03-19,2022-10-05,"1.60%",-200,1.6,0
2024-03-19,2022-10-05,"1.85%",-175,1.85,0.0113160223851331
2024-03-19,2022-10-05,"2.10%",-150,2.1,0.0227356842799234
2024-03-19,2022-10-05,"2.35%",-125,2.35,0.0407509758474228
2024-03-19,2022-10-05,"2.60%",-100,2.6,0.0651608719397242
2024-03-19,2022-10-05,"2.85%",-75,2.85,0.0929516709719388
2024-03-19,2022-10-05,"3.10%",-50,3.1,0.118290781210538
2024-03-19,2022-10-05,"3.35%",-25,3.35,0.134297927087697
2024-03-19,2022-10-05,"3.60%",0,3.6,0.13602324467312
2024-03-19,2022-10-05,"3.85%",25,3.85,0.122908645677739
2024-03-19,2022-10-05,"4.10%",50,4.1,0.0990778692903203
2024-03-19,2022-10-05,"4.35%",75,4.35,0.071251599542553
2024-03-19,2022-10-05,"4.60%",100,4.6,0.0457124508581259
2024-03-19,2022-10-05,"4.85%",125,4.85,0.0261633835149167
2024-03-19,2022-10-05,"5.10%",150,5.1,0.0133588727208475
2024-03-19,2022-10-05,"5.35%",175,5.35,0
2024-03-19,2022-10-05,"5.60%",200,5.6,0
2024-03-19,2022-10-05,"5.85%",225,5.85,0
2024-03-19,2022-10-05,"6.10%",250,6.1,0
2024-03-19,2022-10-06,"0.10%",-300,0.1,0
2024-03-19,2022-10-06,"0.35%",-300,0.35,0
2024-03-19,2022-10-06,"0.60%",-300,0.6,0
2024-03-19,2022-10-06,"0.85%",-275,0.85,0
2024-03-19,2022-10-06,"1.10%",-250,1.1,0
2024-03-19,2022-10-06,"1.35%",-225,1.35,0
2024-03-19,2022-10-06,"1.60%",-200,1.6,0
2024-03-19,2022-10-06,"1.85%",-175,1.85,0
2024-03-19,2022-10-06,"2.10%",-150,2.1,0.0200979205690627
2024-03-19,2022-10-06,"2.35%",-125,2.35,0.0376176641341623
2024-03-19,2022-10-06,"2.60%",-100,2.6,0.0623997704430233
2024-03-19,2022-10-06,"2.85%",-75,2.85,0.0917334816738834
2024-03-19,2022-10-06,"3.10%",-50,3.1,0.119516805174522
2024-03-19,2022-10-06,"3.35%",-25,3.35,0.138002835910968
2024-03-19,2022-10-06,"3.60%",0,3.6,0.141223160047565
2024-03-19,2022-10-06,"3.85%",25,3.85,0.128080457081386
2024-03-19,2022-10-06,"4.10%",50,4.1,0.102948068359754
2024-03-19,2022-10-06,"4.35%",75,4.35,0.0733348654419295
2024-03-19,2022-10-06,"4.60%",100,4.6,0.0462975018636075
2024-03-19,2022-10-06,"4.85%",125,4.85,0.0259033786320035
2024-03-19,2022-10-06,"5.10%",150,5.1,0.0128440906681335
2024-03-19,2022-10-06,"5.35%",175,5.35,0
2024-03-19,2022-10-06,"5.60%",200,5.6,0
2024-03-19,2022-10-06,"5.85%",225,5.85,0
2024-03-19,2022-10-06,"6.10%",250,6.1,0
2024-03-19,2022-10-07,"0.10%",-300,0.1,0
2024-03-19,2022-10-07,"0.35%",-300,0.35,0
2024-03-19,2022-10-07,"0.60%",-300,0.6,0
