"meeting_date","scrape_date","move","diff_bps","bucket_rate","probability"
2023-12-05,2022-07-25,"0.10%",-300,0.1,0
2023-12-05,2022-07-25,"0.35%",-300,0.35,0
2023-12-05,2022-07-25,"0.60%",-300,0.6,0
2023-12-05,2022-07-25,"0.85%",-275,0.85,0
2023-12-05,2022-07-25,"1.10%",-250,1.1,0
2023-12-05,2022-07-25,"1.35%",-225,1.35,0
2023-12-05,2022-07-25,"1.60%",-200,1.6,0
2023-12-05,2022-07-25,"1.85%",-175,1.85,0
2023-12-05,2022-07-25,"2.10%",-150,2.1,0.0163751612493948
2023-12-05,2022-07-25,"2.35%",-125,2.35,0.0353057371761644
2023-12-05,2022-07-25,"2.60%",-100,2.6,0.0650625062979901
2023-12-05,2022-07-25,"2.85%",-75,2.85,0.102482734358041
2023-12-05,2022-07-25,"3.10%",-50,3.1,0.137978529348616
2023-12-05,2022-07-25,"3.35%",-25,3.35,0.158787932452764
2023-12-05,2022-07-25,"3.60%",0,3.6,0.156196279564755
2023-12-05,2022-07-25,"3.85%",25,3.85,0.131332087392649
2023-12-05,2022-07-25,"4.10%",50,4.1,0.0943877145458099
2023-12-05,2022-07-25,"4.35%",75,4.35,0.0579828831395063
2023-12-05,2022-07-25,"4.60%",100,4.6,0.0304450660974614
2023-12-05,2022-07-25,"4.85%",125,4.85,0.0136633683768481
2023-12-05,2022-07-25,"5.10%",150,5.1,0
2023-12-05,2022-07-25,"5.35%",175,5.35,0
2023-12-05,2022-07-25,"5.60%",200,5.6,0
2023-12-05,2022-07-25,"5.85%",225,5.85,0
2023-12-05,2022-07-25,"6.10%",250,6.1,0
2023-12-05,2022-07-26,"0.10%",-300,0.1,0
2023-12-05,2022-07-26,"0.35%",-300,0.35,0
2023-12-05,2022-07-26,"0.60%",-300,0.6,0
2023-12-05,2022-07-26,"0.85%",-275,0.85,0
2023-12-05,2022-07-26,"1.10%",-250,1.1,0
2023-12-05,2022-07-26,"1.35%",-225,1.35,0
2023-12-05,2022-07-26,"1.60%",-200,1.6,0
2023-12-05,2022-07-26,"1.85%",-175,1.85,0
2023-12-05,2022-07-26,"2.10%",-150,2.1,0.0144366460805398
2023-12-05,2022-07-26,"2.35%",-125,2.35,0.0351382228196468
2023-12-05,2022-07-26,"2.60%",-100,2.6,0.0704710320593751
2023-12-05,2022-07-26,"2.85%",-75,2.85,0.116460105417231
2023-12-05,2022-07-26,"3.10%",-50,3.1,0.158596255615799
2023-12-05,2022-07-26,"3.35%",-25,3.35,0.177977985396339
2023-12-05,2022-07-26,"3.60%",0,3.6,0.16458884882126
