"meeting_date","scrape_date","move","diff_bps","bucket_rate","probability"
2025-11-04,2024-06-03,"0.10%",-300,0.1,0
2025-11-04,2024-06-03,"0.35%",-300,0.35,0
2025-11-04,2024-06-03,"0.60%",-300,0.6,0
2025-11-04,2024-06-03,"0.85%",-275,0.85,0
2025-11-04,2024-06-03,"1.10%",-250,1.1,0
2025-11-04,2024-06-03,"1.35%",-225,1.35,0
2025-11-04,2024-06-03,"1.60%",-200,1.6,0
2025-11-04,2024-06-03,"1.85%",-175,1.85,0
2025-11-04,2024-06-03,"2.10%",-150,2.1,0
2025-11-04,2024-06-03,"2.35%",-125,2.35,0
2025-11-04,2024-06-03,"2.60%",-100,2.6,0.0116268428462632
2025-11-04,2024-06-03,"2.85%",-75,2.85,0.0277108092720555
2025-11-04,2024-06-03,"3.10%",-50,3.1,0.0556756153033903
2025-11-04,2024-06-03,"3.35%",-25,3.35,0.0943021984406441
2025-11-04,2024-06-03,"3.60%",0,3.6,0.134657093702726
2025-11-04,2024-06-03,"3.85%",25,3.85,0.162104058378701
2025-11-04,2024-06-03,"4.10%",50,4.1,0.164520202437402
2025-11-04,2024-06-03,"4.35%",75,4.35,0.140768523759468
2025-11-04,2024-06-03,"4.60%",100,4.6,0.101542987366904
2025-11-04,2024-06-03,"4.85%",125,4.85,0.0617513290946038
2025-11-04,2024-06-03,"5.10%",150,5.1,0.0316581508944202
2025-11-04,2024-06-03,"5.35%",175,5.35,0.0136821885034213
2025-11-04,2024-06-03,"5.60%",200,5.6,0
2025-11-04,2024-06-03,"5.85%",225,5.85,0
2025-11-04,2024-06-03,"6.10%",250,6.1,0
2025-11-04,2024-06-04,"0.10%",-300,0.1,0
2025-11-04,2024-06-04,"0.35%",-300,0.35,0
2025-11-04,2024-06-04,"0.60%",-300,0.6,0
2025-11-04,2024-06-04,"0.85%",-275,0.85,0
2025-11-04,2024-06-04,"1.10%",-250,1.1,0
2025-11-04,2024-06-04,"1.35%",-225,1.35,0
2025-11-04,2024-06-04,"1.60%",-200,1.6,0
2025-11-04,2024-06-04,"1.85%",-175,1.85,0
2025-11-04,2024-06-04,"2.10%",-150,2.1,0
2025-11-04,2024-06-04,"2.35%",-125,2.35,0
2025-11-04,2024-06-04,"2.60%",-100,2.6,0
2025-11-04,2024-06-04,"2.85%",-75,2.85,0.0255233940113782
2025-11-04,2024-06-04,"3.10%",-50,3.1,0.0565737743430102
2025-11-04,2024-06-04,"3.35%",-25,3.35,0.102267258562233
2025-11-04,2024-06-04,"3.60%",0,3.6,0.150772205596047
2025-11-04,2024-06-04,"3.85%",25,3.85,0.181293189952759
2025-11-04,2024-06-04,"4.10%",50,4.1,0.177796466718518
2025-11-04,2024-06-04,"4.35%",75,4.35,0.142215053484142
2025-11-04,2024-06-04,"4.60%",100,4.6,0.0927772887144712
2025-11-04,2024-06-04,"4.85%",125,4.85,0.0493625893749749
2025-11-04,2024-06-04,"5.10%",150,5.1,0.0214187792424669
2025-11-04,2024-06-04,"5.35%",175,5.35,0
2025-11-04,2024-06-04,"5.60%",200,5.6,0
2025-11-04,2024-06-04,"5.85%",225,5.85,0
2025-11-04,2024-06-04,"6.10%",250,6.1,0
2025-11-04,2024-06-05,"0.10%",-300,0.1,0
2025-11-04,2024-06-05,"0.35%",-300,0.35,0
2025-11-04,2024-06-05,"0.60%",-300,0.6,0
2025-11-04,2024-06-05,"0.85%",-275,0.85,0
2025-11-04,2024-06-05,"1.10%",-250,1.1,0
2025-11-04,2024-06-05,"1.35%",-225,1.35,0
2025-11-04,2024-06-05,"1.60%",-200,1.6,0
2025-11-04,2024-06-05,"1.85%",-175,1.85,0
2025-11-04,2024-06-05,"2.10%",-150,2.1,0
2025-11-04,2024-06-05,"2.35%",-125,2.35,0
2025-11-04,2024-06-05,"2.60%",-100,2.6,0
2025-11-04,2024-06-05,"2.85%",-75,2.85,0.02542233207373
2025-11-04,2024-06-05,"3.10%",-50,3.1,0.0586123876178857
2025-11-04,2024-06-05,"3.35%",-25,3.35,0.10824919741658
2025-11-04,2024-06-05,"3.60%",0,3.6,0.160156991145013
2025-11-04,2024-06-05,"3.85%",25,3.85,0.18983186643663
2025-11-04,2024-06-05,"4.10%",50,4.1,0.180260832885724
2025-11-04,2024-06-05,"4.35%",75,4.35,0.137132540344261
2025-11-04,2024-06-05,"4.60%",100,4.6,0.083574787441557
2025-11-04,2024-06-05,"4.85%",125,4.85,0.0408023806937529
2025-11-04,2024-06-05,"5.10%",150,5.1,0.015956683944867
2025-11-04,2024-06-05,"5.35%",175,5.35,0
2025-11-04,2024-06-05,"5.60%",200,5.6,0
2025-11-04,2024-06-05,"5.85%",225,5.85,0
2025-11-04,2024-06-05,"6.10%",250,6.1,0
2025-11-04,2024-06-06,"0.10%",-300,0.1,0
2025-11-04,2024-06-06,"0.35%",-300,0.35,0
2025-11-04,2024-06-06,"0.60%",-300,0.6,0
2025-11-04,2024-06-06,"0.85%",-275,0.85,0
2025-11-04,2024-06-06,"1.10%",-250,1.1,0
2025-11-04,2024-06-06,"1.35%",-225,1.35,0
2025-11-04,2024-06-06,"1.60%",-200,1.6,0
2025-11-04,2024-06-06,"1.85%",-175,1.85,0
2025-11-04,2024-06-06,"2.10%",-150,2.1,0
2025-11-04,2024-06-06,"2.35%",-125,2.35,0
2025-11-04,2024-06-06,"2.60%",-100,2.6,0.0141815465961282
2025-11-04,2024-06-06,"2.85%",-75,2.85,0.0340906238479439
2025-11-04,2024-06-06,"3.10%",-50,3.1,0.0679530622501885
2025-11-04,2024-06-06,"3.35%",-25,3.35,0.112321347059688
2025-11-04,2024-06-06,"3.60%",0,3.6,0.153959668067686
2025-11-04,2024-06-06,"3.85%",25,3.85,0.175005128095936
2025-11-04,2024-06-06,"4.10%",50,4.1,0.164966933347421
2025-11-04,2024-06-06,"4.35%",75,4.35,0.128956691183408
2025-11-04,2024-06-06,"4.60%",100,4.6,0.0835960275954754
2025-11-04,2024-06-06,"4.85%",125,4.85,0.0449377781754264
2025-11-04,2024-06-06,"5.10%",150,5.1,0.0200311937806982
2025-11-04,2024-06-06,"5.35%",175,5.35,0
2025-11-04,2024-06-06,"5.60%",200,5.6,0
2025-11-04,2024-06-06,"5.85%",225,5.85,0
2025-11-04,2024-06-06,"6.10%",250,6.1,0
2025-11-04,2024-06-07,"0.10%",-300,0.1,0
2025-11-04,2024-06-07,"0.35%",-300,0.35,0
2025-11-04,2024-06-07,"0.60%",-300,0.6,0
2025-11-04,2024-06-07,"0.85%",-275,0.85,0
2025-11-04,2024-06-07,"1.10%",-250,1.1,0
2025-11-04,2024-06-07,"1.35%",-225,1.35,0
2025-11-04,2024-06-07,"1.60%",-200,1.6,0
2025-11-04,2024-06-07,"1.85%",-175,1.85,0
2025-11-04,2024-06-07,"2.10%",-150,2.1,0
2025-11-04,2024-06-07,"2.35%",-125,2.35,0
2025-11-04,2024-06-07,"2.60%",-100,2.6,0
2025-11-04,2024-06-07,"2.85%",-75,2.85,0.0150564294771495
2025-11-04,2024-06-07,"3.10%",-50,3.1,0.0472183930898315
2025-11-04,2024-06-07,"3.35%",-25,3.35,0.108398445176826
2025-11-04,2024-06-07,"3.60%",0,3.6,0.18220059067251
2025-11-04,2024-06-07,"3.85%",25,3.85,0.224259590033215
2025-11-04,2024-06-07,"4.10%",50,4.1,0.202139450776321
2025-11-04,2024-06-07,"4.35%",75,4.35,0.13342517209131
2025-11-04,2024-06-07,"4.60%",100,4.6,0.0644856389167169
2025-11-04,2024-06-07,"4.85%",125,4.85,0.0228162897661199
2025-11-04,2024-06-07,"5.10%",150,5.1,0
2025-11-04,2024-06-07,"5.35%",175,5.35,0
2025-11-04,2024-06-07,"5.60%",200,5.6,0
2025-11-04,2024-06-07,"5.85%",225,5.85,0
2025-11-04,2024-06-07,"6.10%",250,6.1,0
2025-11-04,2024-06-10,"0.10%",-300,0.1,0
2025-11-04,2024-06-10,"0.35%",-300,0.35,0
2025-11-04,2024-06-10,"0.60%",-300,0.6,0
2025-11-04,2024-06-10,"0.85%",-275,0.85,0
2025-11-04,2024-06-10,"1.10%",-250,1.1,0
2025-11-04,2024-06-10,"1.35%",-225,1.35,0
2025-11-04,2024-06-10,"1.60%",-200,1.6,0
2025-11-04,2024-06-10,"1.85%",-175,1.85,0
2025-11-04,2024-06-10,"2.10%",-150,2.1,0
2025-11-04,2024-06-10,"2.35%",-125,2.35,0
2025-11-04,2024-06-10,"2.60%",-100,2.6,0.0198282951435889
2025-11-04,2024-06-10,"2.85%",-75,2.85,0.041056875390958
2025-11-04,2024-06-10,"3.10%",-50,3.1,0.072782780201535
2025-11-04,2024-06-10,"3.35%",-25,3.35,0.110464173566211
2025-11-04,2024-06-10,"3.60%",0,3.6,0.143539058829137
2025-11-04,2024-06-10,"3.85%",25,3.85,0.15969019081706
2025-11-04,2024-06-10,"4.10%",50,4.1,0.152106362628852
2025-11-04,2024-06-10,"4.35%",75,4.35,0.124044306218332
2025-11-04,2024-06-10,"4.60%",100,4.6,0.0866091436598704
2025-11-04,2024-06-10,"4.85%",125,4.85,0.0517729744893531
2025-11-04,2024-06-10,"5.10%",150,5.1,0.0264964612771502
2025-11-04,2024-06-10,"5.35%",175,5.35,0.0116093777779517
2025-11-04,2024-06-10,"5.60%",200,5.6,0
2025-11-04,2024-06-10,"5.85%",225,5.85,0
2025-11-04,2024-06-10,"6.10%",250,6.1,0
2025-11-04,2024-06-11,"0.10%",-300,0.1,0
2025-11-04,2024-06-11,"0.35%",-300,0.35,0
2025-11-04,2024-06-11,"0.60%",-300,0.6,0
2025-11-04,2024-06-11,"0.85%",-275,0.85,0
2025-11-04,2024-06-11,"1.10%",-250,1.1,0
2025-11-04,2024-06-11,"1.35%",-225,1.35,0
2025-11-04,2024-06-11,"1.60%",-200,1.6,0
2025-11-04,2024-06-11,"1.85%",-175,1.85,0
2025-11-04,2024-06-11,"2.10%",-150,2.1,0
2025-11-04,2024-06-11,"2.35%",-125,2.35,0
2025-11-04,2024-06-11,"2.60%",-100,2.6,0
2025-11-04,2024-06-11,"2.85%",-75,2.85,0.0227969020992253
2025-11-04,2024-06-11,"3.10%",-50,3.1,0.0529302848461376
2025-11-04,2024-06-11,"3.35%",-25,3.35,0.0992689886449764
2025-11-04,2024-06-11,"3.60%",0,3.6,0.150392585645765
2025-11-04,2024-06-11,"3.85%",25,3.85,0.184059333987432
2025-11-04,2024-06-11,"4.10%",50,4.1,0.181976494027917
2025-11-04,2024-06-11,"4.35%",75,4.35,0.145344414919443
2025-11-04,2024-06-11,"4.60%",100,4.6,0.0937775197225725
2025-11-04,2024-06-11,"4.85%",125,4.85,0.0488765500007165
2025-11-04,2024-06-11,"5.10%",150,5.1,0.0205769261058151
2025-11-04,2024-06-11,"5.35%",175,5.35,0
2025-11-04,2024-06-11,"5.60%",200,5.6,0
2025-11-04,2024-06-11,"5.85%",225,5.85,0
2025-11-04,2024-06-11,"6.10%",250,6.1,0
2025-11-04,2024-06-12,"0.10%",-300,0.1,0
2025-11-04,2024-06-12,"0.35%",-300,0.35,0
2025-11-04,2024-06-12,"0.60%",-300,0.6,0
2025-11-04,2024-06-12,"0.85%",-275,0.85,0
2025-11-04,2024-06-12,"1.10%",-250,1.1,0
2025-11-04,2024-06-12,"1.35%",-225,1.35,0
2025-11-04,2024-06-12,"1.60%",-200,1.6,0
2025-11-04,2024-06-12,"1.85%",-175,1.85,0
2025-11-04,2024-06-12,"2.10%",-150,2.1,0
2025-11-04,2024-06-12,"2.35%",-125,2.35,0
2025-11-04,2024-06-12,"2.60%",-100,2.6,0.0139181601352907
2025-11-04,2024-06-12,"2.85%",-75,2.85,0.0322934730518526
2025-11-04,2024-06-12,"3.10%",-50,3.1,0.0630259961474973
2025-11-04,2024-06-12,"3.35%",-25,3.35,0.103468769367586
2025-11-04,2024-06-12,"3.60%",0,3.6,0.14288706464737
2025-11-04,2024-06-12,"3.85%",25,3.85,0.165988058276101
2025-11-04,2024-06-12,"4.10%",50,4.1,0.162204906591842
2025-11-04,2024-06-12,"4.35%",75,4.35,0.133337986703424
2025-11-04,2024-06-12,"4.60%",100,4.6,0.0922025130486406
2025-11-04,2024-06-12,"4.85%",125,4.85,0.0536319362101457
2025-11-04,2024-06-12,"5.10%",150,5.1,0.0262413238688663
2025-11-04,2024-06-12,"5.35%",175,5.35,0.010799811951384
2025-11-04,2024-06-12,"5.60%",200,5.6,0
2025-11-04,2024-06-12,"5.85%",225,5.85,0
2025-11-04,2024-06-12,"6.10%",250,6.1,0
2025-11-04,2024-06-13,"0.10%",-300,0.1,0
2025-11-04,2024-06-13,"0.35%",-300,0.35,0
2025-11-04,2024-06-13,"0.60%",-300,0.6,0
2025-11-04,2024-06-13,"0.85%",-275,0.85,0
2025-11-04,2024-06-13,"1.10%",-250,1.1,0
2025-11-04,2024-06-13,"1.35%",-225,1.35,0
2025-11-04,2024-06-13,"1.60%",-200,1.6,0
2025-11-04,2024-06-13,"1.85%",-175,1.85,0
2025-11-04,2024-06-13,"2.10%",-150,2.1,0
2025-11-04,2024-06-13,"2.35%",-125,2.35,0
2025-11-04,2024-06-13,"2.60%",-100,2.6,0.0119896146468167
