"meeting_date","scrape_time","scrape_datetime_aest","move","diff_bps","bucket_rate","probability"
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","0.10%",-360,0.001,0
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","0.35%",-360,0.0035,0
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","0.60%",-359,0.006,0
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","0.85%",-359,0.0085,0
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","1.10%",-359,0.011,0
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","1.35%",-359,0.0135,0
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","1.60%",-358,0.016,0
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","1.85%",-358,0.0185,0
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","2.10%",-358,0.021,0.0238593724190177
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","2.35%",-358,0.0235,0.083334227973941
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","2.60%",-357,0.026,0.185699534382437
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","2.85%",-357,0.0285,0.264177025830754
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","3.10%",-357,0.031,0.239994787465953
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","3.35%",-357,0.0335,0.139218368699437
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","3.60%",-356,0.036,0.0515451476978977
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","3.85%",-356,0.0385,0.0121715355305629
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","4.10%",-356,0.041,0
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","4.35%",-356,0.0435,0
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","4.60%",-355,0.046,0
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","4.85%",-355,0.0485,0
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","5.10%",-355,0.051,0
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","5.35%",-355,0.0535,0
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","5.60%",-354,0.056,0
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","5.85%",-354,0.0585,0
2026-02-03,2025-05-01 12:00:00,"2025-05-01 22:00:00","6.10%",-354,0.061,0
2026-02-03,2025-05-02 12:00:00,"2025-05-02 22:00:00","0.10%",-360,0.001,0
2026-02-03,2025-05-02 12:00:00,"2025-05-02 22:00:00","0.35%",-360,0.0035,0
2026-02-03,2025-05-02 12:00:00,"2025-05-02 22:00:00","0.60%",-359,0.006,0
2026-02-03,2025-05-02 12:00:00,"2025-05-02 22:00:00","0.85%",-359,0.0085,0
2026-02-03,2025-05-02 12:00:00,"2025-05-02 22:00:00","1.10%",-359,0.011,0
2026-02-03,2025-05-02 12:00:00,"2025-05-02 22:00:00","1.35%",-359,0.0135,0
2026-02-03,2025-05-02 12:00:00,"2025-05-02 22:00:00","1.60%",-358,0.016,0
2026-02-03,2025-05-02 12:00:00,"2025-05-02 22:00:00","1.85%",-358,0.0185,0
2026-02-03,2025-05-02 12:00:00,"2025-05-02 22:00:00","2.10%",-358,0.021,0.0190227376994697
2026-02-03,2025-05-02 12:00:00,"2025-05-02 22:00:00","2.35%",-358,0.0235,0.0725293173423504
2026-02-03,2025-05-02 12:00:00,"2025-05-02 22:00:00","2.60%",-357,0.026,0.174053690228073
2026-02-03,2025-05-02 12:00:00,"2025-05-02 22:00:00","2.85%",-357,0.0285,0.263091120187039
2026-02-03,2025-05-02 12:00:00,"2025-05-02 22:00:00","3.10%",-357,0.031,0.250578109378729
2026-02-03,2025-05-02 12:00:00,"2025-05-02 22:00:00","3.35%",-357,0.0335,0.150374712382187
2026-02-03,2025-05-02 12:00:00,"2025-05-02 22:00:00","3.60%",-356,0.036,0.0568334562965681
2026-02-03,2025-05-02 12:00:00,"2025-05-02 22:00:00","3.85%",-356,0.0385,0.0135168564855844
2026-02-03,2025-05-02 12:00:00,"2025-05-02 22:00:00","4.10%",-356,0.041,0
2026-02-03,2025-05-02 12:00:00,"2025-05-02 22:00:00","4.35%",-356,0.0435,0
