"meeting_date","scrape_time","scrape_datetime_aest","move","diff_bps","bucket_rate","probability"
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","0.10%",-350,0.1,0.118132063037062
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","0.35%",-325,0.35,0.486068872745903
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","0.60%",-300,0.6,0.351815753098747
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","0.85%",-275,0.85,0.0439833111182884
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","1.10%",-250,1.1,0
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","1.35%",-225,1.35,0
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","1.60%",-200,1.6,0
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","1.85%",-175,1.85,0
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","2.10%",-150,2.1,0
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","2.35%",-125,2.35,0
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","2.60%",-100,2.6,0
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","2.85%",-75,2.85,0
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","3.10%",-50,3.1,0
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","3.35%",-25,3.35,0
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","3.60%",0,3.6,0
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","3.85%",25,3.85,0
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","4.10%",50,4.1,0
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","4.35%",75,4.35,0
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","4.60%",100,4.6,0
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","4.85%",125,4.85,0
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","5.10%",150,5.1,0
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","5.35%",175,5.35,0
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","5.60%",200,5.6,0
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","5.85%",225,5.85,0
2022-06-07,2022-04-21 22:00:00,"2022-04-22 08:00:00","6.10%",250,6.1,0
2022-06-07,2022-04-26 22:00:00,"2022-04-27 08:00:00","0.10%",-350,0.1,0.0230540624505614
2022-06-07,2022-04-26 22:00:00,"2022-04-27 08:00:00","0.35%",-325,0.35,0.331848962572826
