"meeting_date","scrape_date","move","diff_bps","bucket_rate","probability"
2026-02-03,2024-09-02,"0.10%",-300,0.1,0
2026-02-03,2024-09-02,"0.35%",-300,0.35,0
2026-02-03,2024-09-02,"0.60%",-300,0.6,0
2026-02-03,2024-09-02,"0.85%",-275,0.85,0
2026-02-03,2024-09-02,"1.10%",-250,1.1,0
2026-02-03,2024-09-02,"1.35%",-225,1.35,0
2026-02-03,2024-09-02,"1.60%",-200,1.6,0
2026-02-03,2024-09-02,"1.85%",-175,1.85,0
2026-02-03,2024-09-02,"2.10%",-150,2.1,0.0197647813260265
2026-02-03,2024-09-02,"2.35%",-125,2.35,0.0426945476066683
2026-02-03,2024-09-02,"2.60%",-100,2.6,0.0777479255644749
2026-02-03,2024-09-02,"2.85%",-75,2.85,0.119358156522091
2026-02-03,2024-09-02,"3.10%",-50,3.1,0.154479268289873
2026-02-03,2024-09-02,"3.35%",-25,3.35,0.168557436950897
2026-02-03,2024-09-02,"3.60%",0,3.6,0.155055394627826
2026-02-03,2024-09-02,"3.85%",25,3.85,0.120250122107363
2026-02-03,2024-09-02,"4.10%",50,4.1,0.0786211004867709
2026-02-03,2024-09-02,"4.35%",75,4.35,0.0433351011008762
2026-02-03,2024-09-02,"4.60%",100,4.6,0.0201361654171331
2026-02-03,2024-09-02,"4.85%",125,4.85,0
2026-02-03,2024-09-02,"5.10%",150,5.1,0
2026-02-03,2024-09-02,"5.35%",175,5.35,0
2026-02-03,2024-09-02,"5.60%",200,5.6,0
2026-02-03,2024-09-02,"5.85%",225,5.85,0
2026-02-03,2024-09-02,"6.10%",250,6.1,0
2026-02-03,2024-09-03,"0.10%",-300,0.1,0
2026-02-03,2024-09-03,"0.35%",-300,0.35,0
2026-02-03,2024-09-03,"0.60%",-300,0.6,0
2026-02-03,2024-09-03,"0.85%",-275,0.85,0
2026-02-03,2024-09-03,"1.10%",-250,1.1,0
2026-02-03,2024-09-03,"1.35%",-225,1.35,0
2026-02-03,2024-09-03,"1.60%",-200,1.6,0
2026-02-03,2024-09-03,"1.85%",-175,1.85,0
2026-02-03,2024-09-03,"2.10%",-150,2.1,0.0150395289555143
2026-02-03,2024-09-03,"2.35%",-125,2.35,0.0372430611076096
